S_No,City,State,Event_Type,Event_Name,Address,Zipcode,phone,Event,Event_Date,Event_Price,Event_Email
24,Los Angeles,CA,Attraction,Warner Bros. Studio Tour Hollywood,3400 Warner Blvd,91505,818 977 8687,Film and television studio,1/13/22,69,pbrownselly@desdev.cn
25,Los Angeles,CA,Attraction,Warner Bros. Studio Tour Hollywood,3400 Warner Blvd,91505,818 977 8687,Film and television studio,1/14/22,69,pbrownselly@desdev.cn
26,Los Angeles,CA,Attraction,Warner Bros. Studio Tour Hollywood,3400 Warner Blvd,91505,818 977 8687,Film and television studio,1/15/22,69,pbrownselly@desdev.cn
27,Los Angeles,CA,Attraction,Warner Bros. Studio Tour Hollywood,3400 Warner Blvd,91505,818 977 8687,Film and television studio,1/16/22,69,pbrownselly@desdev.cn
28,Los Angeles,CA,Attraction,Madame Tussauds Hollywood,6933 Hollywood Blvd,90028,323 798 1670,Wax museum tour`,1/12/22,30,jaberchirderz@cdbaby.com
29,Los Angeles,CA,Attraction,Madame Tussauds Hollywood,6933 Hollywood Blvd,90028,323 798 1670,Wax museum tour`,1/13/22,30,jaberchirderz@cdbaby.com
30,Los Angeles,CA,Attraction,Madame Tussauds Hollywood,6933 Hollywood Blvd,90028,323 798 1670,Wax museum tour`,1/14/22,30,jaberchirderz@cdbaby.com
31,Los Angeles,CA,Attraction,Madame Tussauds Hollywood,6933 Hollywood Blvd,90028,323 798 1670,Wax museum tour`,1/15/22,30,jaberchirderz@cdbaby.com
32,Los Angeles,CA,Attraction,Madame Tussauds Hollywood,6933 Hollywood Blvd,90028,323 798 1670,Wax museum tour`,1/16/22,30,jaberchirderz@cdbaby.com
33,Los Angeles,CA,Attraction,Madame Tussauds Hollywood,6933 Hollywood Blvd,90028,323 798 1670,Wax museum tour`,1/17/22,30,jaberchirderz@cdbaby.com
34,Los Angeles,CA,Aquarium,Aquarium of the Pacific,100 Aquarium Way,90802,562 590 3100,Aquarium tour and Seal show,1/12/22,37,legdal10@state.tx.us
35,Los Angeles,CA,Aquarium,Aquarium of the Pacific,100 Aquarium Way,90802,562 590 3100,Aquarium tour and Seal show,1/13/22,37,legdal10@state.tx.us
36,Los Angeles,CA,Aquarium,Aquarium of the Pacific,100 Aquarium Way,90802,562 590 3100,Aquarium tour and Seal show,1/14/22,37,legdal10@state.tx.us
37,Los Angeles,CA,Aquarium,Aquarium of the Pacific,100 Aquarium Way,90802,562 590 3100,Aquarium tour and Seal show,1/15/22,37,legdal10@state.tx.us
38,Los Angeles,CA,Aquarium,Aquarium of the Pacific,100 Aquarium Way,90802,562 590 3100,Aquarium tour and Seal show,1/16/22,37,legdal10@state.tx.us
39,Los Angeles,CA,Aquarium,Aquarium of the Pacific,100 Aquarium Way,90802,562 590 3100,Aquarium tour and Seal show,1/17/22,37,legdal10@state.tx.us
40,Los Angeles,CA,Aquarium,"Living Art Aquatic Design, Inc.",2301 S Sepulveda Blvd,90064,310 822 7484,Aquarium tour and Dolphin show,1/12/22,30,sumfrey11@dyndns.org
41,Los Angeles,CA,Aquarium,"Living Art Aquatic Design, Inc.",2301 S Sepulveda Blvd,90064,310 822 7484,Aquarium tour and Dolphin show,1/13/22,30,sumfrey11@dyndns.org
42,Los Angeles,CA,Aquarium,"Living Art Aquatic Design, Inc.",2301 S Sepulveda Blvd,90064,310 822 7484,Aquarium tour and Dolphin show,1/14/22,30,sumfrey11@dyndns.org
43,Los Angeles,CA,Aquarium,"Living Art Aquatic Design, Inc.",2301 S Sepulveda Blvd,90064,310 822 7484,Aquarium tour and Dolphin show,1/15/22,30,sumfrey11@dyndns.org
44,Los Angeles,CA,Aquarium,"Living Art Aquatic Design, Inc.",2301 S Sepulveda Blvd,90064,310 822 7484,Aquarium tour and Dolphin show,1/16/22,30,sumfrey11@dyndns.org
45,Los Angeles,CA,Aquarium,"Living Art Aquatic Design, Inc.",2301 S Sepulveda Blvd,90064,310 822 7484,Aquarium tour and Dolphin show,1/17/22,30,sumfrey11@dyndns.org
46,Los Angeles,CA,Restaurant,PHENAKITE RESTAURANT,1370 N St Andrews Pl,90028,323 380 8573,Modern angeleno restaurant,1/12/22,125,vwherrett12@sfgate.com
47,Los Angeles,CA,Restaurant,PHENAKITE RESTAURANT,1370 N St Andrews Pl,90028,323 380 8573,Modern angeleno restaurant,1/13/22,125,vwherrett12@sfgate.com
48,Los Angeles,CA,Restaurant,PHENAKITE RESTAURANT,1370 N St Andrews Pl,90028,323 380 8573,Modern angeleno restaurant,1/14/22,125,vwherrett12@sfgate.com
49,Los Angeles,CA,Restaurant,PHENAKITE RESTAURANT,1370 N St Andrews Pl,90028,323 380 8573,Modern angeleno restaurant,1/15/22,125,vwherrett12@sfgate.com
50,Los Angeles,CA,Restaurant,PHENAKITE RESTAURANT,1370 N St Andrews Pl,90028,323 380 8573,Modern angeleno restaurant,1/16/22,125,vwherrett12@sfgate.com
51,Los Angeles,CA,Restaurant,PHENAKITE RESTAURANT,1370 N St Andrews Pl,90028,323 380 8573,Modern angeleno restaurant,1/17/22,125,vwherrett12@sfgate.com
52,Los Angeles,CA,Restaurant,PHENAKITE RESTAURANT,1370 N St Andrews Pl,90028,323 380 8573,Modern angeleno restaurant,1/18/22,125,vwherrett12@sfgate.com
53,Los Angeles,CA,Restaurant,Bestia,2121 E 7th Pl,90021,213 514 5724,Trendy Italian restaurant from an acclaimed husband-&-wife team highlights creative seasonal fare,1/12/22,125,gbradwell13@sciencedirect.com
54,Los Angeles,CA,Restaurant,Bestia,2121 E 7th Pl,90021,213 514 5724,Trendy Italian restaurant from an acclaimed husband-&-wife team highlights creative seasonal fare,1/13/22,125,gbradwell13@sciencedirect.com
55,Los Angeles,CA,Restaurant,Bestia,2121 E 7th Pl,90021,213 514 5724,Trendy Italian restaurant from an acclaimed husband-&-wife team highlights creative seasonal fare,1/14/22,125,gbradwell13@sciencedirect.com
56,Los Angeles,CA,Restaurant,Bestia,2121 E 7th Pl,90021,213 514 5724,Trendy Italian restaurant from an acclaimed husband-&-wife team highlights creative seasonal fare,1/15/22,125,gbradwell13@sciencedirect.com
57,Los Angeles,CA,Restaurant,Bestia,2121 E 7th Pl,90021,213 514 5724,Trendy Italian restaurant from an acclaimed husband-&-wife team highlights creative seasonal fare,1/16/22,125,gbradwell13@sciencedirect.com
58,Los Angeles,CA,Restaurant,Bestia,2121 E 7th Pl,90021,213 514 5724,Trendy Italian restaurant from an acclaimed husband-&-wife team highlights creative seasonal fare,1/17/22,125,gbradwell13@sciencedirect.com
59,Los Angeles,CA,Restaurant,Bestia,2121 E 7th Pl,90021,213 514 5724,Trendy Italian restaurant from an acclaimed husband-&-wife team highlights creative seasonal fare,1/18/22,125,gbradwell13@sciencedirect.com
60,Los Angeles,CA,Ferry,Catalina Express,95 Berth,90731,310 519 1212,Discover paradise on Catalina Island with dailyferry tripsto and from the island,1/12/22,45,alydon14@tinypic.com
61,Los Angeles,CA,Ferry,Catalina Express,95 Berth,90731,310 519 1212,Discover paradise on Catalina Island with dailyferry tripsto and from the island,1/13/22,45,alydon14@tinypic.com
62,Los Angeles,CA,Ferry,Catalina Express,95 Berth,90731,310 519 1212,Discover paradise on Catalina Island with dailyferry tripsto and from the island,1/14/22,45,alydon14@tinypic.com
63,Los Angeles,CA,Ferry,Catalina Express,95 Berth,90731,310 519 1212,Discover paradise on Catalina Island with dailyferry tripsto and from the island,1/15/22,45,alydon14@tinypic.com
64,Los Angeles,CA,Ferry,Catalina Express,95 Berth,90731,310 519 1212,Discover paradise on Catalina Island with dailyferry tripsto and from the island,1/16/22,45,alydon14@tinypic.com
65,Los Angeles,CA,Ferry,Catalina Express,95 Berth,90731,310 519 1212,Discover paradise on Catalina Island with dailyferry tripsto and from the island,1/17/22,45,alydon14@tinypic.com
66,Los Angeles,CA,Ferry,Catalina Express,95 Berth,90731,310 519 1212,Discover paradise on Catalina Island with dailyferry tripsto and from the island,1/18/22,45,alydon14@tinypic.com
67,Los Angeles,CA,Ferry,Catalina Express,95 Berth,90731,310 519 1212,Discover paradise on Catalina Island with dailyferry tripsto and from the island,1/19/22,45,alydon14@tinypic.com
68,Los Angeles,CA,Ferry,Spirit Cruises,429 Shoreline Village Drive,90802,310 548 8080,The Only 1-Hour Harbor Cruise in Shoreline Village,1/12/22,30,kpalser16@sina.com.cn
69,Los Angeles,CA,Ferry,Spirit Cruises,429 Shoreline Village Drive,90802,310 548 8080,The Only 1-Hour Harbor Cruise in Shoreline Village,1/13/22,30,kpalser16@sina.com.cn
70,Los Angeles,CA,Ferry,Spirit Cruises,429 Shoreline Village Drive,90802,310 548 8080,The Only 1-Hour Harbor Cruise in Shoreline Village,1/14/22,30,kpalser16@sina.com.cn
71,Los Angeles,CA,Ferry,Spirit Cruises,429 Shoreline Village Drive,90802,310 548 8080,The Only 1-Hour Harbor Cruise in Shoreline Village,1/15/22,30,kpalser16@sina.com.cn
72,Los Angeles,CA,Ferry,Spirit Cruises,429 Shoreline Village Drive,90802,310 548 8080,The Only 1-Hour Harbor Cruise in Shoreline Village,1/16/22,30,kpalser16@sina.com.cn
73,Los Angeles,CA,Ferry,Spirit Cruises,429 Shoreline Village Drive,90802,310 548 8080,The Only 1-Hour Harbor Cruise in Shoreline Village,1/17/22,30,kpalser16@sina.com.cn
74,Los Angeles,CA,Ferry,Spirit Cruises,429 Shoreline Village Drive,90802,310 548 8080,The Only 1-Hour Harbor Cruise in Shoreline Village,1/18/22,30,kpalser16@sina.com.cn
75,Los Angeles,CA,Ferry,Spirit Cruises,429 Shoreline Village Drive,90802,310 548 8080,The Only 1-Hour Harbor Cruise in Shoreline Village,1/19/22,30,kpalser16@sina.com.cn
76,Chicago,IL, Museum,Field Museum,1400 S Lake Shore Dr,60605,312 922 9410,National History Museum,1/12/22,40,dspellessyj@weibo.com
77,Chicago,IL, Museum,Field Museum,1400 S Lake Shore Dr,60605,312 922 9410,National History Museum,1/13/22,40,dspellessyj@weibo.com
78,Chicago,IL, Museum,Field Museum,1400 S Lake Shore Dr,60605,312 922 9410,National History Museum,1/14/22,40,dspellessyj@weibo.com
79,Chicago,IL, Museum,Field Museum,1400 S Lake Shore Dr,60605,312 922 9410,National History Museum,1/15/22,40,dspellessyj@weibo.com
80,Chicago,IL, Museum,Field Museum,1400 S Lake Shore Dr,60605,312 922 9410,National History Museum,1/16/22,40,dspellessyj@weibo.com
81,Chicago,IL, Museum,Field Museum,1400 S Lake Shore Dr,60605,312 922 9410,National History Museum,1/17/22,40,dspellessyj@weibo.com
82,Chicago,IL,Museum,Museum of Science and Industry,5700 S Lake Shore Dr,60637,773 753 1351,Award Winning Exhinbits at MSI,1/12/22,22,jspollenk@house.gov
83,Chicago,IL,Museum,Museum of Science and Industry,5700 S Lake Shore Dr,60637,773 753 1351,Award Winning Exhinbits at MSI,1/13/22,22,jspollenk@house.gov
84,Chicago,IL,Museum,Museum of Science and Industry,5700 S Lake Shore Dr,60637,773 753 1351,Award Winning Exhinbits at MSI,1/14/22,22,jspollenk@house.gov
85,Chicago,IL,Museum,Museum of Science and Industry,5700 S Lake Shore Dr,60637,773 753 1351,Award Winning Exhinbits at MSI,1/15/22,22,jspollenk@house.gov
86,Chicago,IL,Museum,Museum of Science and Industry,5700 S Lake Shore Dr,60637,773 753 1351,Award Winning Exhinbits at MSI,1/16/22,22,jspollenk@house.gov
87,Chicago,IL,Museum,McCormick Bridgehouse & Chicago River Museum,99 Chicago Riverwalk,60601,312 977 0227,Exhibits on the city's river & movable bridges,1/12/22,6,mmcdouall@amazon.co.jp
88,Chicago,IL,Museum,McCormick Bridgehouse & Chicago River Museum,99 Chicago Riverwalk,60601,312 977 0227,Exhibits on the city's river & movable bridges,1/13/22,6,mmcdouall@amazon.co.jp
89,Chicago,IL,Museum,McCormick Bridgehouse & Chicago River Museum,99 Chicago Riverwalk,60601,312 977 0227,Exhibits on the city's river & movable bridges,1/14/22,6,mmcdouall@amazon.co.jp
90,Chicago,IL,Museum,McCormick Bridgehouse & Chicago River Museum,99 Chicago Riverwalk,60601,312 977 0227,Exhibits on the city's river & movable bridges,1/15/22,6,mmcdouall@amazon.co.jp
91,Chicago,IL,Museum,McCormick Bridgehouse & Chicago River Museum,99 Chicago Riverwalk,60601,312 977 0227,Exhibits on the city's river & movable bridges,1/16/22,6,mmcdouall@amazon.co.jp
92,Chicago,IL,Attraction,Willis Tower,233 S Wacker Dr,60606,312 875 0066,"1,450-foot skyscraper in Chicago",1/12/22,30,tderlm@blogtalkradio.com
93,Chicago,IL,Attraction,Willis Tower,233 S Wacker Dr,60606,312 875 0066,"1,450-foot skyscraper in Chicago",1/13/22,30,tderlm@blogtalkradio.com
94,Chicago,IL,Attraction,Willis Tower,233 S Wacker Dr,60606,312 875 0066,"1,450-foot skyscraper in Chicago",1/14/22,30,tderlm@blogtalkradio.com
95,Chicago,IL,Attraction,Willis Tower,233 S Wacker Dr,60606,312 875 0066,"1,450-foot skyscraper in Chicago",1/15/22,30,tderlm@blogtalkradio.com
96,Chicago,IL,Attraction,Willis Tower,233 S Wacker Dr,60606,312 875 0066,"1,450-foot skyscraper in Chicago",1/16/22,30,tderlm@blogtalkradio.com
97,Chicago,IL,Attraction,Willis Tower,233 S Wacker Dr,60606,312 875 0066,"1,450-foot skyscraper in Chicago",1/17/22,30,tderlm@blogtalkradio.com
98,Chicago,IL,Attraction,Cloud Gate,201 E Randolph St,60602,312 878 7788,Public sculpture at Millennium Park,1/12/22,10,gabethelln@nydailynews.com
99,Chicago,IL,Attraction,Cloud Gate,201 E Randolph St,60602,312 878 7788,Public sculpture at Millennium Park,1/13/22,10,gabethelln@nydailynews.com
100,Chicago,IL,Attraction,Cloud Gate,201 E Randolph St,60602,312 878 7788,Public sculpture at Millennium Park,1/14/22,10,gabethelln@nydailynews.com
101,Chicago,IL,Attraction,Cloud Gate,201 E Randolph St,60602,312 878 7788,Public sculpture at Millennium Park,1/15/22,10,gabethelln@nydailynews.com
102,Chicago,IL,Attraction,Cloud Gate,201 E Randolph St,60602,312 878 7788,Public sculpture at Millennium Park,1/16/22,10,gabethelln@nydailynews.com
103,Chicago,IL,Aquarium,Shedd Aquarium,1200 S Lake Shore Dr,60605,312 939 2438,Aquarium tour and Dolphin show,1/12/22,40,dcrimino@webnode.com
104,Chicago,IL,Aquarium,Shedd Aquarium,1200 S Lake Shore Dr,60605,312 939 2438,Aquarium tour and Dolphin show,1/13/22,40,dcrimino@webnode.com
105,Chicago,IL,Aquarium,Shedd Aquarium,1200 S Lake Shore Dr,60605,312 939 2438,Aquarium tour and Dolphin show,1/14/22,40,dcrimino@webnode.com
106,Chicago,IL,Aquarium,Shedd Aquarium,1200 S Lake Shore Dr,60605,312 939 2438,Aquarium tour and Dolphin show,1/15/22,40,dcrimino@webnode.com
107,Chicago,IL,Aquarium,Shedd Aquarium,1200 S Lake Shore Dr,60605,312 939 2438,Aquarium tour and Dolphin show,1/16/22,40,dcrimino@webnode.com
108,Chicago,IL,Ferry,Shoreline Sightseeing,401 N Michigan Ave,60611,312 222 9328,Chicago Architecture Tour,1/12/22,37,fgaymerp@flickr.com
109,Chicago,IL,Ferry,Shoreline Sightseeing,401 N Michigan Ave,60611,312 222 9328,Chicago Architecture Tour,1/13/22,37,fgaymerp@flickr.com
110,Chicago,IL,Ferry,Shoreline Sightseeing,401 N Michigan Ave,60611,312 222 9328,Chicago Architecture Tour,1/14/22,37,fgaymerp@flickr.com
111,Chicago,IL,Ferry,Shoreline Sightseeing,401 N Michigan Ave,60611,312 222 9328,Chicago Architecture Tour,1/15/22,37,fgaymerp@flickr.com
112,Chicago,IL,Ferry,Shoreline Sightseeing,401 N Michigan Ave,60611,312 222 9328,Chicago Architecture Tour,1/16/22,37,fgaymerp@flickr.com
113,Chicago,IL,Ferry,Chicago Fireboat Tours,111 N Lake Shore Dr,60601,312 919 3367,Skyline Lake Tour 40-Minute,1/12/22,30,npicknettq@meetup.com
114,Chicago,IL,Ferry,Chicago Fireboat Tours,111 N Lake Shore Dr,60601,312 919 3367,Skyline Lake Tour 40-Minute,1/13/22,30,npicknettq@meetup.com
115,Chicago,IL,Ferry,Chicago Fireboat Tours,111 N Lake Shore Dr,60601,312 919 3367,Skyline Lake Tour 40-Minute,1/14/22,30,npicknettq@meetup.com
116,Chicago,IL,Ferry,Chicago Fireboat Tours,111 N Lake Shore Dr,60601,312 919 3367,Skyline Lake Tour 40-Minute,1/15/22,30,npicknettq@meetup.com
117,Chicago,IL,Ferry,Chicago Fireboat Tours,111 N Lake Shore Dr,60601,312 919 3367,Skyline Lake Tour 40-Minute,1/16/22,30,npicknettq@meetup.com
118,Chicago,IL,Restaurant,Alinea,1723 N Halsted St,60614,312 227 3456,New American tasting menus featuring highly creative plates,1/12/22,125,ltooheyr@hao123.com
119,Chicago,IL,Restaurant,Alinea,1723 N Halsted St,60614,312 227 3456,New American tasting menus featuring highly creative plates,1/13/22,125,ltooheyr@hao123.com
120,Chicago,IL,Restaurant,Alinea,1723 N Halsted St,60614,312 227 3456,New American tasting menus featuring highly creative plates,1/14/22,125,ltooheyr@hao123.com
121,Chicago,IL,Restaurant,Alinea,1723 N Halsted St,60614,312 227 3456,New American tasting menus featuring highly creative plates,1/15/22,125,ltooheyr@hao123.com
122,Chicago,IL,Restaurant,Alinea,1723 N Halsted St,60614,312 227 3456,New American tasting menus featuring highly creative plates,1/16/22,125,ltooheyr@hao123.com
123,Chicago,IL,Restaurant,Monteverde Restaurant & Pastificio,1020 W Madison St,60607,312 888 3041,"Stylish spot serving refined, contemporary Italian menu",1/12/22,125,kpigdons@mapy.cz
124,Chicago,IL,Restaurant,Monteverde Restaurant & Pastificio,1020 W Madison St,60607,312 888 3041,"Stylish spot serving refined, contemporary Italian menu",1/13/22,125,kpigdons@mapy.cz
125,Chicago,IL,Restaurant,Monteverde Restaurant & Pastificio,1020 W Madison St,60607,312 888 3041,"Stylish spot serving refined, contemporary Italian menu",1/14/22,125,kpigdons@mapy.cz
126,Chicago,IL,Restaurant,Monteverde Restaurant & Pastificio,1020 W Madison St,60607,312 888 3041,"Stylish spot serving refined, contemporary Italian menu",1/15/22,125,kpigdons@mapy.cz
127,Chicago,IL,Restaurant,The Publican,837 W Fulton Market,60607,312 733 9555,A creative seafood & pork-focused menu plus global brews in a hip setting with communal tables,1/12/22,125,wplumert@gizmodo.com
128,Chicago,IL,Restaurant,The Publican,837 W Fulton Market,60607,312 733 9555,A creative seafood & pork-focused menu plus global brews in a hip setting with communal tables,1/13/22,125,wplumert@gizmodo.com
129,Chicago,IL,Restaurant,The Publican,837 W Fulton Market,60607,312 733 9555,A creative seafood & pork-focused menu plus global brews in a hip setting with communal tables,1/14/22,125,wplumert@gizmodo.com
130,Chicago,IL,Restaurant,The Publican,837 W Fulton Market,60607,312 733 9555,A creative seafood & pork-focused menu plus global brews in a hip setting with communal tables,1/15/22,125,wplumert@gizmodo.com
131,Chicago,IL,Restaurant,The Publican,837 W Fulton Market,60607,312 733 9555,A creative seafood & pork-focused menu plus global brews in a hip setting with communal tables,1/16/22,125,wplumert@gizmodo.com
132,Chicago,IL,Restaurant,The Publican,837 W Fulton Market,60607,312 733 9555,A creative seafood & pork-focused menu plus global brews in a hip setting with communal tables,1/17/22,125,wplumert@gizmodo.com
133,New York,NY,Museum,American Museum of Natural History,200 Central Park West,10024,(212) 769-5100,SciCafe: AI and the Future of Disease-Risk Prediction,1/12/22,23,dsterman0@ed.gov
134,New York,NY,Museum,American Museum of Natural History,200 Central Park West,10024,(212) 769-5100,SciCafe: AI and the Future of Disease-Risk Prediction,1/13/22,23,dsterman0@ed.gov
135,New York,NY,Museum,American Museum of Natural History,200 Central Park West,10024,(212) 769-5100,SciCafe: AI and the Future of Disease-Risk Prediction,1/14/22,23,dsterman0@ed.gov
136,New York,NY,Museum,American Museum of Natural History,200 Central Park West,10024,(212) 769-5100,SciCafe: AI and the Future of Disease-Risk Prediction,1/15/22,23,dsterman0@ed.gov
137,New York,NY,Museum,American Museum of Natural History,200 Central Park West,10024,(212) 769-5100,SciCafe: AI and the Future of Disease-Risk Prediction,1/16/22,23,dsterman0@ed.gov
138,New York,NY,Museum,Brooklyn Museum,200 Eastern Pkwy,11238,718-638-5000,Virtual Teacher Workshop: MLK Day of Action,1/12/22,28,foneil1@alibaba.com
139,New York,NY,Museum,Brooklyn Museum,200 Eastern Pkwy,11238,718-638-5000,Art History Happy Hour: Modern Gothic,1/13/22,28,foneil1@alibaba.com
140,New York,NY,Museum,Brooklyn Museum,200 Eastern Pkwy,11238,718-638-5000,Art History Happy Hour: Modern Gothic,1/14/22,28,foneil1@alibaba.com
141,New York,NY,Museum,Brooklyn Museum,200 Eastern Pkwy,11238,718-638-5000,Art History Happy Hour: Modern Gothic,1/15/22,28,foneil1@alibaba.com
142,New York,NY,Museum,Brooklyn Museum,200 Eastern Pkwy,11238,718-638-5000,Virtual Open House: Adult Literacy at the Brooklyn Museum,1/16/22,28,foneil1@alibaba.com
143,New York,NY,Museum,Brooklyn Museum,200 Eastern Pkwy,11238,718-638-5000,Studio Art: Printmaking Inspired by Andy Warhol,1/17/22,28,foneil1@alibaba.com
144,New York,NY,Museum,Whitney Museum of American Art,99 Gansevoort St.,10014,(212) 570-3600,Virtual Tour: Jennifer Packer,1/12/22,20,ckelf2@google.com.br
145,New York,NY,Museum,Whitney Museum of American Art,99 Gansevoort St.,10014,(212) 570-3600,Open Studio From Home: Jasper Johns PMA X Whitney,1/13/22,20,ckelf2@google.com.br
146,New York,NY,Museum,Whitney Museum of American Art,99 Gansevoort St.,10014,(212) 570-3600,Open Studio From Home: Jasper Johns PMA X Whitney,1/14/22,20,ckelf2@google.com.br
147,New York,NY,Museum,Whitney Museum of American Art,99 Gansevoort St.,10014,(212) 570-3600,Open Studio From Home: Jasper Johns PMA X Whitney,1/15/22,20,ckelf2@google.com.br
148,New York,NY,Museum,Whitney Museum of American Art,99 Gansevoort St.,10014,(212) 570-3600,"Absence that Fills the World: The Figure in the Work of Jennifer Packer, Jasper Johns, and More",1/16/22,20,ckelf2@google.com.br
149,New York,NY,Museum,9/11 Memorial and Museum,180 Greenwich St,10007,(212) 312-8800,Bagpipe Tribute,1/12/22,30,bforrestor3@wunderground.com
150,New York,NY,Museum,9/11 Memorial and Museum,180 Greenwich St,10007,(212) 312-8800,Bagpipe Tribute,1/13/22,30,bforrestor3@wunderground.com
151,New York,NY,Museum,9/11 Memorial and Museum,180 Greenwich St,10007,(212) 312-8800,Bagpipe Tribute,1/14/22,30,bforrestor3@wunderground.com
152,New York,NY,Museum,9/11 Memorial and Museum,180 Greenwich St,10007,(212) 312-8800,Bagpipe Tribute,1/15/22,30,bforrestor3@wunderground.com
153,New York,NY,Museum,9/11 Memorial and Museum,180 Greenwich St,10007,(212) 312-8800,Bagpipe Tribute,1/16/22,30,bforrestor3@wunderground.com
154,New York,NY,Attraction,Statue Of Liberty,22 Battery Pl,10004,(212) 363-3200,FERRY TOUR,1/5/22,32,rmcilriach4@phoca.cz
155,New York,NY,Attraction,Statue Of Liberty,22 Battery Pl,10004,(212) 363-3200,FERRY TOUR,1/6/22,32,rmcilriach4@phoca.cz
156,New York,NY,Attraction,Statue Of Liberty,22 Battery Pl,10004,(212) 363-3200,FERRY TOUR,1/7/22,32,rmcilriach4@phoca.cz
157,New York,NY,Attraction,Statue Of Liberty,22 Battery Pl,10004,(212) 363-3200,FERRY TOUR,1/8/22,32,rmcilriach4@phoca.cz
158,New York,NY,Attraction,Statue Of Liberty,22 Battery Pl,10004,(212) 363-3200,FERRY TOUR,1/9/22,32,rmcilriach4@phoca.cz
